Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
122-1748-ND,XILINX INC,XC6SLX9-3TQG144I,,1,0,0,6 Weeks,IC FPGA 102 I/O 144TQFP,,RoHS Compliant,Lead free,Unaffected Jun-2013
LM26480SQ-AA/NOPBCT-ND,TEXAS INSTRUMENTS (VA),LM26480SQ-AA/NOPB,,1,0,0,13 Weeks,IC REG QD BUCK/LINEAR 24WQFN,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
336-1164-ND,SILICON LABORATORIES INC,CP2103-GM,,1,0,0,6 Weeks,IC CTRLR BRIDGE USB-UART 28QFN,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
1276-1443-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL05A104MP5NNNC,,50,0,0,10 Weeks,CAP CER 0.1UF 10V 20% X5R 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
490-3297-1-ND,MURATA ELECTRONICS (VA),GRM188R60J475KE19D,,10,0,0,8 Weeks,CAP CER 4.7UF 6.3V 10% X5R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
587-3383-1-ND,TAIYO YUDEN (VA),JMK107ABJ106MAHT,,10,0,0,6 Weeks,CAP CER 10UF 6.3V 20% X5R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
399-1055-1-ND,KEMET (VA),C0603C330J5GACTU,,10,0,0,10 Weeks,CAP CER 33PF 50V 5% NP0 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
490-8297-1-ND,MURATA ELECTRONICS (VA),GRM2195C1H113JA01D,,25,0,0,11 Weeks,CAP CER 0.011UF 50V 5% NP0 0805,No delivery date available,RoHS Compliant,Lead free,Not Available
712-1291-1-ND,JOHANSON TECHNOLOGY INC (VA),500R07S6R8CV4T,,1,0,0,6 Weeks,CAP CER 6.8PF 50V NP0 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2013
712-1368-1-ND,JOHANSON TECHNOLOGY INC (VA),251R14S8R2CV4T,,1,0,0,6 Weeks,CAP CER 8.2PF 250V NP0 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2013
311-1018-1-ND,YAGEO (VA),CC0402JRNPO9BN220,,10,0,0,15 Weeks,CAP CER 22PF 50V 5% NPO 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
399-3695-1-ND,KEMET (VA),T491A474K025AT,,3,0,0,15 Weeks,CAP TANT 0.47UF 25V 10% 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
A111050-ND,TE CONNECTIVITY AMP,1734035-1,,1,0,0,10 Weeks,CONN MINI B USB R/A SMD,,RoHS Compliant,Lead free,Not Available
BAS 170W E6327CT-ND,INFINEON TECHNOLOGIES (VA),BAS 170W E6327,,6,0,0,8 Weeks,DIODE SCHOTKY 70V 0.07A SOD323-2,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
BZT52C24S-TPMSCT-ND,MICRO COMMERCIAL CO (VA),BZT52C24S-TP,,3,0,0,8 Weeks,DIODE ZENER 24V 200MW SOD323,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
ADV7611BSWZ-P-ND,ANALOG DEVICES INC,ADV7611BSWZ-P,,1,0,0,14 Weeks,IC RCVR HDMI 165MHZ LP 64LQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected May-2011
296-12686-1-ND,TEXAS INSTRUMENTS (VA),TPS61041DBVR,,2,0,0,7 Weeks,IC LED DRVR WHITE BCKLGT SOT23-5,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
568-4140-1-ND,NXP SEMICONDUCTORS (VA),"PRTR5V0U2X,215",,3,0,0,5 Weeks,TVS DIODE 5.5VWM SOT143B,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
CTX697CT-ND,CTS-FREQUENCY CONTROLS (VA),636L3C025M00000,,1,0,0,7 Weeks,OSC XO 25.000MHZ HCMOS TTL SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
PCD2279CT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ELL-VEG4R7N,,2,0,0,11 Weeks,COIL CHOKE 4.7UH SHIELDED SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
PCD2277CT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ELL-VEG2R2N,,2,0,0,11 Weeks,COIL CHOKE 2.2UH SHIELDED SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
BSS84CT-ND,FAIRCHILD SEMICONDUCTOR (VA),BSS84,,1,0,0,7 Weeks,MOSFET P-CH 50V 130MA SOT-23,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2011
2N7002-FDICT-ND,DIODES INCORPORATED (VA),2N7002-7-F,,3,0,0,14 Weeks,MOSFET N-CH 60V 115MA SOT23-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2013
311-22.0LRCT-ND,YAGEO (VA),RC0402FR-0722RL,,10,0,0,17 Weeks,RES 22 OHM 1/16W 1% 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-160LRCT-ND,YAGEO (VA),RC0402FR-07160RL,,10,0,0,17 Weeks,RES 160 OHM 1/16W 1% 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
RHM51.0CDCT-ND,ROHM SEMICONDUCTOR (PASSIVE) (VA),MCR01MRTF51R0,,25,0,0,6-8 Weeks,RES 51 OHM 1/16W 1% 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
P3.3KDACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERA-6AEB332V,,18,0,0,9 Weeks,RES 3.3K OHM 1/8W .1% 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
311-1.0KGRCT-ND,YAGEO (VA),RC0603JR-071KL,,10,0,0,17 Weeks,RES 1K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-1.00MLRCT-ND,YAGEO (VA),RC0402FR-071ML,,10,0,0,17 Weeks,RES 1M OHM 1/16W 1% 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-100KGRCT-ND,YAGEO (VA),RC0603JR-07100KL,,10,0,0,17 Weeks,RES 100K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-560KGRCT-ND,YAGEO (VA),RC0603JR-07560KL,,10,0,0,17 Weeks,RES 560K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-464KHRCT-ND,YAGEO (VA),RC0603FR-07464KL,,10,0,0,17 Weeks,RES 464K OHM 1/10W 1% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-178KHRCT-ND,YAGEO (VA),RC0603FR-07178KL,,10,0,0,17 Weeks,RES 178K OHM 1/10W 1% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-187KLRCT-ND,YAGEO (VA),RC0402FR-07187KL,,10,0,0,17 Weeks,RES 187K OHM 1/16W 1% 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-750KGRCT-ND,YAGEO (VA),RC0603JR-07750KL,,10,0,0,17 Weeks,RES 750K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
P200KLCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-2RKF2003X,,10,0,0,7 Weeks,RES 200K OHM 1/10W 1% 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
311-280KHRCT-ND,YAGEO (VA),RC0603FR-07280KL,,10,0,0,17 Weeks,RES 280K OHM 1/10W 1% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
1276-5118-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608J224CS,,10,0,0,12-14 Weeks,RES 220K OHM 1/10W 5% 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
568-10405-1-ND,NXP SEMICONDUCTORS (VA),"IP4292CZ10-TBR,115",,2,0,0,27 Weeks,TVS DIODE 5.5VWM 4VC 10DFN,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
M25P80-VMN6TPCT-ND,MICRON TECHNOLOGY INC (VA),M25P80-VMN6TP,,2,0,0,8-10 Weeks,IC FLASH 8MBIT 75MHZ 8SO,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
CAT10-000J4LFCT-ND,BOURNS INC (VA),CAT10-000J4LF,,10,0,0,15 Weeks,RES ARRAY ZERO OHM 4 RES 0804,,RoHS Compliant,Lead free,Unaffected Dec-2013
